Species Name,Common Name,GRANK,SRANK,FEDERAL,STATE
Trifolium stoloniferum running,buffalo clover,G3,S1,,SE
Triglochin palustris marsh,arrow-grass,G5,S2,,ST
Trillium cernuum,var. macranthum nodding trillium,G5T4,S1,,SE
Utricularia cornuta horned,bladderwort,G5,S1,,SE
Utricularia geminiscapa hidden-fruited,bladderwort,G4G5,S1,,SE
Utricularia minor lesser,bladderwort,G5,S1,,ST
Utricularia radiata small,swollen bladderwort,G5,S1,,SE
Utricularia resupinata northeastern,bladderwort,G4,S1,,SE
Utricularia subulata zigzag,bladderwort,G5,S2,,ST
Uvularia perfoliata,bellwort,G5,S1,,SE
Vaccinium macrocarpon large,cranberry,G5,S3,,ST
Vaccinium myrtilloides velvetleaf,blueberry,G5,S1,,SE
Vaccinium oxycoccos small,cranberry,G5,S2,,ST
Valeriana edulis,var. ciliata hairy valerian,G5T3,S1,,SE
Valeriana uliginosa marsh,valerian,G4,S1,,SE
Vandenboschia boschiana filmy,fern,G4,S1,,SE
Veratrum virginicum,Virginia bunchflower,G5,S1,,SE
Verbesina occidentalis yellow,crownbeard,G5,S1,,SE
Veronica americana,American speedwell,G5,SX,,SX
Viburnum cassinoides northern,wild-raisin,G5T5,S1,,SE
Viburnum molle softleaf,arrow-wood,G3,S3,,ST
Viburnum opulus,var. americanum highbush-cranberry,G5T5,S1,,SE
Viola baxteri,Baxter's violet,GNR,S1,,SE
Viola egglestonii,Eggleston's violet,G4,S1,,SE
Viola glaberrima three-parted,violet,GNR,SX,,SX
Viola hirsutula southern,wood violet,G5,S1,,SE
Viola pedatifida prairie,violet,G5,S2,,ST
Viola primulifolia primrose-leaf,violet,G5,S3,,ST
Vitis palmata catbird,grape,G4,S3,,ST
Vitis rupestris sand,grape,G3,S1,,SE
Vittaria appalachiana,Appalachian vittaria,G4,S2,,ST
Wisteria frutescens,American wisteria,G5,S3,,ST
Wolffiella gladiata sword,bogmat,G4G5,S2S3,,ST
Xyris difformis,Carolina yellow-eyed grass,G5,S2,,ST
