Species Name,Common Name,GRANK,SRANK,FEDERAL,STATE
Cladrastis kentukea,yellowwood,G4,S1,,SE
Clematis pitcheri,Pitcher's leather-flower,G4G5,S3,,ST
Clinopodium arkansanum,calamint,G5,S2,,ST
Clintonia borealis,Clinton's lily,G5,S1,,SE
Coleataenia longifolia,ssp. longifolia long-leaved panic-grass,G5T5?,S1,,SE
Conioselinum chinense hemlock,parsley,G5,S1,,SE
Coptis trifolia,var. groenlandica goldthread,G5T5,S3,,ST
Corallorhiza trifida,var. verna early coralroot,G5TNRQ,SX,,SX
Cornus amomum,ssp. amomum silky dogwood,G5,S1,,SE
Cornus canadensis,bunchberry,G5,S1,,SE
Cornus rugosa roundleaf,dogwood,G5,S3,,ST
Crataegus chrysocarpa fireberry,hawthorn,G5,S1,,SE
Crataegus coccinea,var. coccinea scarlet hawthorn,G5?T4,S2,,ST
Crataegus intricata,Copenhagen hawthorn,G5?,S3,,ST
Crataegus iracunda,Illinois hawthorn,GNR,S1,,SE
Crataegus succulenta,var. succulenta fleshy hawthorn,G5T5,S3,,ST
Crataegus viridis,var. viridis green hawthorn,G5T5,S2,,ST
Croton michauxii,var. elliptica elliptical rushfoil,G5,S1,,SE
Cuscuta cuspidata cusp,dodder,G5,S1,,SE
Cuscuta indecora pretty,dodder,G5,S1,,SE
Cyperus dentatus toothed,sedge,G4,S1,,SE
Cyperus houghtonii,Houghton's nutsedge,G4?,S2,,SE
Cyperus pseudovegetus green,flatsedge,G5,S3,,ST
Cypripedium acaule pink,lady's-slipper,G5,S1,,SE
Cypripedium candidum small,white lady's-slipper,G3G4,S3,,ST
Cypripedium parviflorum,var. makasin small yellow lady's-slipper,G5T5,S3,,ST
Cypripedium reginae showy,lady's-slipper,G4G5,S3,,ST
Dactylorhiza viridis long-bract,green orchid,G5,S1,,SE
Danthonia compressa flattened,oatgrass,G5,S1,,SE
Dendrolycopodium dendroideum treelike,clubmoss,G5,S1,,SE
Dendrolycopodium hickeyi,Hickey's clubmoss,G5,S3,,ST
Deschampsia cespitosa tufted,hairgrass,G5,S3,,ST
Dichanthelium bicknellii,panic-grass,G4?Q,S1,,SE
Dichanthelium boreale northern,witchgrass,G5,S3,,ST
Dichanthelium commonsianum,Commons' panic-grass,GNR,S2S3,,SE
Dichanthelium deamii,Deam's panic-grass,GNR,S1,,SE
Dichanthelium leibergii,Leiberg's witchgrass,G4,S2,,ST
Dichanthelium lucidum shining,panic-grass,G4,S1,,SE
Dichanthelium mattamuskeetense,panic-grass,G4?,SX,,SX
Dichanthelium scoparium broom,panic-grass,G5,S1,,SE
Dichanthelium subvillosum,panic-grass,GNRQ,S1,,SE
Dichanthelium wilcoxianum blood,witchgrass,G5,S3,,ST
Dichanthelium yadkinense,Yadkin panic-grass,G5T4Q,S1,,SE
Dicliptera brachiata wild,mudwort,G5,S1,,SE
Didiplis diandra,water-purslane,G3G4,S1,,SE
Digitaria filiformis slender,crabgrass,GNR,S2,,ST
Dinebra panicoides,Amazon sprangle top,G5,S1,,SE
Diphasiastrum tristachyum deep-root,clubmoss,G5,S2,,ST
Dodecatheon frenchii,French's shootingstar,G3?,S3,,ST
Drosera intermedia spoon-leaved,sundew,G5,S3,,ST
Dryopteris celsa log,fern,G4,S1,,SE
Dryopteris clintoniana,Clinton's woodfern,G5?,S1,,SE
Echinacea simulata wavyleaf,purple coneflower,G4,SU,,SE
Echinodorus berteroi tall,bur-head,G5,S1,,SE
Echinodorus cordifolius creeping,bur-head,G5,S1,,SE
Eleocharis atropurpurea purple,spikerush,G4G5,S1,,SE
Eleocharis bifida glades,spikerush,G3G4,S1,,SE
Eleocharis equisetoides horsetail,spikerush,G4,S1,,SE
Eleocharis geniculata capitate,spike-rush,G5,S2,,ST
Eleocharis melanocarpa black-fruited,spike-rush,G4,S2,,ST
Eleocharis microcarpa small-fruited,spike-rush,G5,S1,,SE
Eleocharis robbinsii,Robbins' spike-rush,G4,S2,,ST
Eleocharis wolfii,Wolf's spike-rush,G3G5,S2,,ST
Epigaea repens trailing,arbutus,G5,S3,,ST
Equisetum sylvaticum woodland,horsetail,G5,S1,,SE
Equisetum variegatum,var. variegatum variegated horsetail,G5T5,S1,,SE
Eriocaulon aquaticum,pipewort,G5,S1,,SE
Eriophorum angustifolium,ssp. narrow-leaved cotton-grass,G5T5,S3,,ST
Eriophorum gracile,var. gracile slender cotton-grass,G5T5,S2,,ST
Eriophorum tenellum rough,cotton-grass,G5,S1,,SE
Eriophorum vaginatum dense,cotton-grass,G5,SX,,SX
Eriophorum viridicarinatum green-keeled,cotton-grass,G5,S3,,ST
Erysimum capitatum prairie-rocket,wallflower,G5,S1,,SE
Eupatorium album white,thoroughwort,G5,S3,,ST
Euphorbia polygonifolia seaside,spurge,G5,S2,,ST
Euploca tenella slender,heliotrope,G5,S2,,ST
Eurybia furcata forked,aster,G3,S3,,ST
Eurybia schreberi,Schreber's aster,G4,S1,,SE
Fallopia cilinodis fringed,black bindweed,G5,SX,,SX
