COUNTY,SciName,CommonName,SRANK,GRANK,STSTAT,FEDSTAT
Saint Louis,Cumberlandia monodonta,Spectaclecase,S3,G2,E,E
Saint Louis,Elliptio crassidens,Elephantear,S1,G5,E,
Saint Louis,Epioblasma triquetra,Snuffbox,S1,G2G3,E,E
Saint Louis,Lampsilis abrupta,Pink Mucket,S2,G1G2,E,E
Saint Louis,Myotis grisescens,Gray Myotis,S3,G3G4,E,E
Saint Louis,Myotis septentrionalis,Northern Long-eared Myotis,S1,G2G3,E,E
Saint Louis,Myotis sodalis,Indiana Myotis,S1,G2,E,E
Saint Louis,Platygobio gracilis,Flathead Chub,S1,G5,E,
Saint Louis,Plethobasus cyphyus,Sheepnose,S2,G2G3,E,E
Saint Louis,Potamilus leptodon,Scaleshell,S1,G1G2,E,E
Saint Louis,Pressodonta viridis,Slippershell Mussel,S1,G4G5,E,
Saint Louis,Reginaia ebenus,Ebonyshell,S1,G4G5,E,
Saint Louis,Scaphirhynchus albus,Pallid Sturgeon,S1,G2,E,E
Saint Louis,Simpsonaias ambigua,Salamander Mussel,S1,G1G2,E,PE
Saint Louis,Trifolium stoloniferum,Running Buffalo Clover,S1,G3,E,
Saint Louis City,Acipenser fulvescens,Lake Sturgeon,S1,G3G4,E,
Sainte Genevieve,Acipenser fulvescens,Lake Sturgeon,S1,G3G4,E,
Sainte Genevieve,Myotis grisescens,Gray Myotis,S3,G3G4,E,E
Sainte Genevieve,Myotis septentrionalis,Northern Long-eared Myotis,S1,G2G3,E,E
Sainte Genevieve,Myotis sodalis,Indiana Myotis,S1,G2,E,E
Sainte Genevieve,Platygobio gracilis,Flathead Chub,S1,G5,E,
Sainte Genevieve,Scaphirhynchus albus,Pallid Sturgeon,S1,G2,E,E
Sainte Genevieve,Spilogale interrupta,Plains Spotted Skunk,S1,G3,E,
Stoddard,Botaurus lentiginosus,American Bittern,S1,G5,E,
Stoddard,Cyprogenia aberti,Western Fanshell,S2,G1G2,E,T
Stoddard,Etheostoma histrio,Harlequin Darter,S2,G5,E,
Stoddard,Etheostoma parvipinne,Goldstripe Darter,S1,G4G5,E,
Stoddard,Lampsilis abrupta,Pink Mucket,S2,G1G2,E,E
Stoddard,Myotis sodalis,Indiana Myotis,S1,G2,E,E
Stoddard,Notropis maculatus,Taillight Shiner,S1,G5,E,
Stoddard,Potamilus capax,Fat Pocketbook,S1,G3,E,E
Stoddard,Theliderma cylindrica,Rabbitsfoot,S1,G3,E,T
Stone,Myotis grisescens,Gray Myotis,S3,G3G4,E,E
Stone,Myotis septentrionalis,Northern Long-eared Myotis,S1,G2G3,E,E
Stone,Ozark Cavefish Recharge Area,,S2,GNR,E,T
Stone,Pressodonta viridis,Slippershell Mussel,S1,G4G5,E,
Stone,Spilogale interrupta,Plains Spotted Skunk,S1,G3,E,
Stone,Troglichthys rosae,Ozark Cavefish,S2,G3,E,T
Sullivan,Asclepias meadii,Mead's Milkweed,S2,G2,E,T
Sullivan,Myotis septentrionalis,Northern Long-eared Myotis,S1,G2G3,E,E
Sullivan,Myotis sodalis,Indiana Myotis,S1,G2,E,E
Sullivan,Spilogale interrupta,Plains Spotted Skunk,S1,G3,E,
Taney,Antrobia culveri,Tumbling Creek Cavesnail,S1,G1,E,E
Taney,Limnothlypis swainsonii,Swainson's Warbler,S2,G4,E,
Taney,Myotis grisescens,Gray Myotis,S3,G3G4,E,E
Taney,Myotis septentrionalis,Northern Long-eared Myotis,S1,G2G3,E,E
Taney,Myotis sodalis,Indiana Myotis,S1,G2,E,E
Taney,Peucaea aestivalis,Bachman's Sparrow,S1,G3,E,
Taney,Pressodonta viridis,Slippershell Mussel,S1,G4G5,E,
Taney,Spilogale interrupta,Plains Spotted Skunk,S1,G3,E,
Taney,Tumbling Creek Cavesnail Federal Designated Critical Habitat,,S1,GNR,E,E
Texas,Cryptobranchus alleganiensis bishopi,Ozark Hellbender,S1,G3T1,E,E
Texas,Cumberlandia monodonta,Spectaclecase,S3,G2,E,E
Texas,Helenium virginicum,Virginia Sneezeweed,S3,G3,E,"T, PDL"
Texas,Myotis grisescens,Gray Myotis,S3,G3G4,E,E
Texas,Myotis septentrionalis,Northern Long-eared Myotis,S1,G2G3,E,E
Texas,Myotis sodalis,Indiana Myotis,S1,G2,E,E
Texas,Peucaea aestivalis,Bachman's Sparrow,S1,G3,E,
Texas,Pressodonta viridis,Slippershell Mussel,S1,G4G5,E,
Texas,Spilogale interrupta,Plains Spotted Skunk,S1,G3,E,
Vernon,Asclepias meadii,Mead's Milkweed,S2,G2,E,T
Vernon,Circus hudsonius,Northern Harrier,S2,G5,E,
Vernon,Spilogale interrupta,Plains Spotted Skunk,S1,G3,E,
Vernon,Tympanuchus cupido,Greater Prairie-chicken,S1,G4,E,
Warren,Acipenser fulvescens,Lake Sturgeon,S1,G3G4,E,
Warren,Myotis grisescens,Gray Myotis,S3,G3G4,E,E
Warren,Myotis septentrionalis,Northern Long-eared Myotis,S1,G2G3,E,E
Warren,Platygobio gracilis,Flathead Chub,S1,G5,E,
Warren,Scaphirhynchus albus,Pallid Sturgeon,S1,G2,E,E
Warren,Trifolium stoloniferum,Running Buffalo Clover,S1,G3,E,
Washington,Big Creek Crayfish Federal Designated Critical Habitat,,S2,GNR,E,T
Washington,Cumberlandia monodonta,Spectaclecase,S3,G2,E,E
Washington,Hine's Emerald Federal Designated Critical Habitat,,S2,GNR,E,E
Washington,Myotis grisescens,Gray Myotis,S3,G3G4,E,E
Washington,Myotis septentrionalis,Northern Long-eared Myotis,S1,G2G3,E,E
Washington,Myotis sodalis,Indiana Myotis,S1,G2,E,E
Washington,Pressodonta viridis,Slippershell Mussel,S1,G4G5,E,
Washington,St. Francis River Crayfish Federal Designated Critical Habitat,,S2,GNR,E,T
Wayne,Botaurus lentiginosus,American Bittern,S1,G5,E,
Wayne,Crystallaria asprella,Crystal Darter,S1,G3,E,
Wayne,Cyprogenia aberti,Western Fanshell,S2,G1G2,E,T
Wayne,Deirochelys reticularia miaria,Western Chicken Turtle,S1,G5T5,E,
Wayne,Elliptio crassidens,Elephantear,S1,G5,E,
Wayne,Epioblasma curtisii,Curtis Pearlymussel,S1,G1,E,E
Wayne,Epioblasma triquetra,Snuffbox,S1,G2G3,E,E
Wayne,Faxonius peruncus,Big Creek Crayfish,S2,G1G2,E,T
Wayne,Faxonius quadruncus,St. Francis River Crayfish,S2,G1G2,E,T
Wayne,Hine's Emerald Federal Designated Critical Habitat,,S2,GNR,E,E
Wayne,Lampsilis abrupta,Pink Mucket,S2,G1G2,E,E
Wayne,Limnothlypis swainsonii,Swainson's Warbler,S2,G4,E,
Wayne,Myotis grisescens,Gray Myotis,S3,G3G4,E,E
Wayne,Myotis septentrionalis,Northern Long-eared Myotis,S1,G2G3,E,E
Wayne,Myotis sodalis,Indiana Myotis,S1,G2,E,E
Wayne,Notropis maculatus,Taillight Shiner,S1,G5,E,
Wayne,Noturus eleutherus,Mountain Madtom,S1S2,G4,E,
Wayne,Percina nasuta,Longnose Darter,S1,G3,E,
Wayne,Reginaia ebenus,Ebonyshell,S1,G4G5,E,
Wayne,Theliderma cylindrica,Rabbitsfoot,S1,G3,E,T
Wayne,Trifolium stoloniferum,Running Buffalo Clover,S1,G3,E,
Webster,Etheostoma nianguae,Niangua Darter,S2,G2,E,T
Webster,Helenium virginicum,Virginia Sneezeweed,S3,G3,E,"T, PDL"
Webster,Myotis grisescens,Gray Myotis,S3,G3G4,E,E
Webster,Myotis septentrionalis,Northern Long-eared Myotis,S1,G2G3,E,E
Webster,Niangua Darter Known Range,,S2,GNR,E,T
Webster,Pressodonta viridis,Slippershell Mussel,S1,G4G5,E,
Worth,Myotis septentrionalis,Northern Long-eared Myotis,S1,G2G3,E,E
Worth,Myotis sodalis,Indiana Myotis,S1,G2,E,E
Wright,Helenium virginicum,Virginia Sneezeweed,S3,G3,E,"T, PDL"
Wright,Myotis grisescens,Gray Myotis,S3,G3G4,E,E
Wright,Myotis septentrionalis,Northern Long-eared Myotis,S1,G2G3,E,E
Wright,Myotis sodalis,Indiana Myotis,S1,G2,E,E
Wright,Potamilus leptodon,Scaleshell,S1,G1G2,E,E
