Species Name,Common Name,GRANK,SRANK,FEDERAL,STATE
Dichomeris aleatrix,Buffy dichomeris,GNR,S1S3,,SR
Digrammia eremiata,Goat's rue looper,G4,S2S3,,SR
Digrammia mellistrigata yellow-striped,angle,G5,S3,,SR
Eosphoropteryx thyatyroides pink-patched,looper,G4G5,S1S2,,ST
Epiblema fulminana smokey,prairie dock borer,GNR,S2,,SR
Ethmia monticola fuscipedella,puccoon web moth,GNRTNR,S1S2,,ST
Eubaphe meridiana little,beggar moth,G4,S2,,SR
Eucoptocnemis fimbriaris fringed,dart,G4,S2,,ST
Eucosma bilineana two-striped,eucosma,GNR,S2S3,,SR
Eucosma bipunctella two-spotted,eucosma,GNR,S1S2,,ST
Eucosma giganteana giant,eucosma,GNR,S2,,ST
Eucosma olivaceana,Olivaceous Eucosma,GNR,S2S3,,SR
Eucosma ornatula ornate,eucosma,GNR,S2,,SR
Eucosma umbrastriana smokey-striped,eucosma,GNR,S3,,SR
Euxoa albipennis white-striped,dart,G4G5,S1S2,,SE
Euxoa aurulenta dune,cutworm,G5,S1,,SE
Euxoa niveilinea white,veined dart,GNR,S2S3,,SR
Exyra fax pitcher,window moth,G4,S1S2,,SE
Fagitana littera marsh,fern moth,G4,S1S2,,ST
Feltia manifesta record,keeper,G4,S3S4,,SR
Gabara subnivosella snowy,gabara,G4,S1S2,,ST
Grammia anna,Anna's tiger moth,G4,S3S4,,SR
Grammia figurata figured,grammia,G5,S3,,SR
Grammia virguncula little,virgin tiger moth,G5,S1S2,,SR
Hadena capsularis starry,campion capsule moth,G5,S2,,SR
Hadena ectypa starry,campion moth,G3G4,S1S2,,ST
Hemaris gracilis blueberry,clearwing sphinx,G4G5,S1S2,,ST
Hemileuca nevadensis,ssp. 3 midwestern fen buckmoth,G5T3T4,S2S3,,SR
Hemipachnobia monochromatea sundew,dart,G4,S1,,SE
Homoglaea hircina goat,sallow,GNR,S2,,ST
Homophoberia cristata waterlily,moth,G4,S1S3,,SR
Hypenodes caducus large,hypenodes,GNR,S3S4,,SR
Hypocoena inquinata tufted,sedge moth,G5,S1S2,,ST
Hystrichophora loricana armored,hystrichophora,G2G4,S1,,SE
Iodopepla u-album white-eyed,sedge-borer,G5,S2S3,,SR
Kocakina fidelis intractable,Quaker moth,GNR,S3S4,,SR
Lacinipolia olivacea olive,arches,G5,S1,,SE
Lemmeria digitalis fingered,lemmeria,G4,S1S2,,SR
Leucania amygdalina salt,marsh wainscot,GNR,S2,,SR
Leucania inermis unarmed,wainscot,G5,S2,,ST
Leucania multilinea many-lined,wainscot,G5,S1,,SE
Leucania scirpicola scirpus,wainscot,G5,S2S3,,SR
Lytrosis permagnaria charcoal,lytrosis,G3G4,S1,,SE
Macalla zelleri,Zeller's epipaschia,GNR,S4,,SR
Macaria multilineata many-lined,angle,G4,S4,,SR
Macrochilo bivittata two-striped,cord grass moth,G3G4,S1,,SE
Macrochilo louisiana,Louisiana macrochilo,G4,S3S4,,SR
Melanchra assimilis black,arches,G5,S1S2,,SE
Melipotis jucunda merry,melipotis,G5,S1S3,,SR
Meropleon ambifusca,Newman's brocade,G4G5,S2,,ST
Meropleon diversicolor multicolored,brocade,G5,S2,,ST
Metarranthis apiciaria barrens,metarranthis,G1G3,S1,,SE
Monoleuca semifascia the,zig-zag monoleuca,G5,S1,,SE
Neodactria murellus prairie,sedge moth,GNR,S1,,SE
Nola cilicoides blurry-patched,nola moth,G5,S3,,SR
Nola pustulata sharp-blotched,nola,G4,S3,,SR
Notodonta scitipennis finned-willow,prominent,G5,S1S2,,ST
Odontosia elegans elegant,prominent,G5,S2S3,,SR
Oligia bridghami,Bridgham's brocade,G5,S1,,SE
Oligia obtusa obtuse,sedge borer,G4,S1,,SE
Paectes abrostolella barrens,paectes,G4,S2,,ST
Papaipema appassionata pitcher,plant borer moth,G3G4,S1,,SE
Papaipema astuta stoneroot,borer moth,G3?,S1S2,,ST
Papaipema beeriana,Beer's blazing star borer moth,G3?,S1S3,,ST
Papaipema cerina golden,borer moth,G3,S1,,ST
Papaipema eryngii,Rattlesnake-master Borer Moth,G2,SX,,SX
Papaipema harrisii,Heracleum stem borer moth,G4,S2S3,,ST
Papaipema leucostigma columbine,borer moth,G4G5,S1S2,,ST
Papaipema limpida ironweed,borer moth,G2G4,S1S2,,SR
Papaipema lysimachiae,St. John's wort borer moth,G4G5,S2,,ST
Papaipema marginidens,The Brick Red Borer Moth,G4,S1S3,,SR
Papaipema maritima giant,sunflower borer moth,G3?,S2S3,,ST
Papaipema polymniae cup,plant borer moth,G4?,S1S2,,ST
Papaipema rigida rigid,sunflower borer moth,G4G5,S3S4,,SR
Papaipema sciata,Culver's root borer moth,G2G3,S1S2,,SE
Papaipema silphii,Silphium Borer Moth,G3G4,S2,,ST
Papaipema speciosissima royal,fern borer moth,G3G4,S3S4,,ST
Parasa indetermina stinging,rose caterpillar moth,G4,S3S4,,SR
Peoria gemmatella gemmed,cordgrass borer,GNR,S2S3,,ST
Peoria tetradella four-spotted,peoria,GNR,S2,,SR
Phalaenostola hanhami,Hanham's rare sedge moth,G4,S1,,SE
Phaneta striatana striated,phaneta moth,G5,S4,,SR
Photedes enervata many-lined,photedes,G4,S1,,SE
Photedes includens included,photedes,G4,S1,,ST
Photedes inops helpless,photedes,G3G4,S1S2,,ST
Photedes panatela northern,sedge borer,GNR,S2S3,,SR
Phytometra ernestinana,Ernestine's phytometra,G4,S1,,SE
Plagodis kuetzingi purple,plagodis,G5,S4,,SR
Ponometia binocula prairie,tarachidia,GNR,S1,,SE
Protorthodes incincta,Saturn quaker,GNR,S2,,SR
Pygarctia spraguei,Sprague's pygartic,G5,S1S2,,ST
Pyla arenaeola,Wilterding's sand pyla,GNR,S1,,SE
Pyrausta laticlavia southern,purple mint moth,GNR,S2S3,,SR
Pyreferra ceromatica,Annointed Sallow Moth,GU,SX,,SR
Pyreferra hesperidago mustard,tiger sallow,G5,S3S4,,SR
Pyreferra pettiti,Pettit's sallow,G5,S3S4,,SR
Pyrrhia aurantiago false-foxglove,sun moth,G3G4,S1S2,,ST
Resapamea stipata four-lined,cordgrass borer,G4,S1S2,,SE
Schinia gaurae clouded,crimson flower moth,G4,S1,,ST
Schinia indiana phlox,flower moth,G2G4,S1,,SE
Schinia jaguarina jaguar,flower moth,G4,S1S2,,SE
Schinia lucens leadplant,flower moth,G3G4,S1,,SE
Schinia sanguinea blazingstar,flower moth,G4,S1,,SE
Schinia septentrionalis northern,flower moth,G3G4,S2,,ST
Sciota dammersi leadplant,webworm,GNR,S1,,SE
Sitochroa dasconalis pearly,wild indigo borer,GNR,S1S2,,ST
Sphinx luscitiosa luscious,willow sphinx,G5,S1S2,,ST
Spilosoma latipennis red-legged,tussock moth,G4,S3S4,,SR
Sympistis infixa broad-lined,sallow,G4,S3S4,,SR
Sympistis riparia dune,oncocnemis,G4,S1,,SE
Tampa dimediatella red-striped,panic grass moth,GNR,S2,,ST
Tricholita notata noted,sunflower moth,G5,S1S2,,ST
Ufeus plicatus,Folded Satyr,G4,S1S3,,SR
Virbia opella tawny,virbia,G5,S3S4,,SR
Xestia dilucida reddish,blueberry dart,G5,S1S2,,SE
Zomaria interruptolineana broken-lined,zomaria,GNR,S4,,SR
Merope tuber,Earwig Scorpionfly,G3G5,S1,,SE
Lomamyia banksi,A Beaded Lacewing,GNR,S2,,ST
Lomamyia flavicornis,A Beaded Lacewing,GNR,S2,,ST
Nallachius americanus,A Pleasing Lacewing,GNR,S2,,ST
Polystoechotes punctatus,A Giant Lacewing,GNR,SX,,SX
Calopteryx aequabilis,River Jewelwing,G5,S1,,SE
Calopteryx angustipennis,Appalachian Jewelwing,G4,S1,,SE
Chromagrion conditum,Aurora Damsel,G5,S2S3,,SR
Enallagma annexum,Northern Bluet,G5,S1S2,,ST
Enallagma boreale,Boreal Bluet,G5,S1S2,,ST
Enallagma divagans turquoise,bluet,G5,S3,,SR
Hetaerina titia,Smoky Rubyspot,G5,S2S3,,SR
Ischnura kellicotti,Lilypad Forktail,G5,S2,,ST
Ischnura prognata,Furtive Forktail,G4,S1,,SE
Nehalennia gracilis,Sphagnum Sprite,G5,S1,,SE
Nehalennia irene,Sedge Sprite,G5,S3,,SR
Aeshna canadensis,Canada Darner,G5,S1,,SE
Aeshna clepsydra,Mottled Darner,G4G5,S1,,SE
Aeshna tuberculifera,Black-tipped Darner,G5,S2,,ST
Anax longipes,Comet Darner,G5,S2,,ST
Arigomphus cornutus,Horned Clubtail,G4,S1,,SE
Arigomphus furcifer,Lilypad Clubtail,G5,S1,,SE
Arigomphus lentulus,Stillwater Clubtail,G5,S1,,SE
Celithemis verna,Double-ringed Pennant,G5,S1,,SE
Dorocordulia libera,Racket-tailed Emerald,G5,S2,,SE
Epitheca canis,Beaverpond Baskettail,G5,S1,,SE
Epitheca spinigera,Spiny Baskettail,G5,S1,,SE
Erpetogomphus designatus,Eastern Ringtail,G5,S2,,ST
Gomphus crassus,Handsome Clubtail,G3G4,S2,,ST
Gomphus externus,Plains Clubtail,G5,S2S3,,SR
Gomphus hybridus,Cocoa Clubtail,G4,S2,,SE
Gomphus lineatifrons,Splendid Clubtail,G4,S2,,ST
Gomphus quadricolor,Rapids Clubtail,G3G4,S2,,ST
Gomphus spicatus,Dusky Clubtail,G5,S4,,ST
Gomphus ventricosus,Skillet Clubtail,G3,S1S2,,ST
Gomphus viridifrons,Green-faced Clubtail,G3G4,S1S2,,ST
Hagenius brevistylus,dragonhunter,G5,S2S3,,SR
Ladona exusta,White Corporal,G5,S2,,ST
Ladona julia,Chalk-fronted Skimmer,G5,S2S3,,SR
Leucorrhinia frigida,Frosted Whiteface,G5,S2S3,,ST
Macromia pacifica,Gilded River Cruiser,G4,S1S2,,ST
Nannothemis bella,Elfin Skimmer,G4G5,S1S2,,SE
Neurocordulia molesta,Smoky Shadowdragon,G4,S1,,SE
Neurocordulia obsoleta,Umber Shadowdragon,G5,S1S2,,ST
Neurocordulia yamaskanensis,Stygian Shadowfly,G5,S1S2,,ST
Ophiogomphus rupinsulensis,Rusty Snaketail,G5,S2S3,,SR
Rhionaeschna mutata,Spatterdock Darner,G4,S2S3,,ST
Somatochlora ensigera,Plains Emerald,G4,S1,,SE
Somatochlora hineana,Hine's Emerald,G2G3,SX,E,SX
Somatochlora tenebrosa,Clamp-tipped Emerald,G5,S2S3,,SR
Stylogomphus sigmastylus,Least Clubtail,G5,S1,,SE
Stylurus amnicola,Riverine Clubtail,G4,S1S2,,ST
Stylurus laurae,Laura's Clubtail,G4,S1S2,,SE
Stylurus notatus,Elusive Clubtail,G3,S1,,SE
Stylurus scudderi,Zebra Clubtail,G5,S1,,SE
Sympetrum danae,Black Meadowhawk,G5,S2,,ST
Sympetrum semicinctum,Band-winged Meadowhawk,G5,S2S3,,SR
Zoraena diastatops delta-spotted,spiketail,G5,S1,,SE
Zoraena erronea tiger,spiketail,G4,S2,,SE
Zoraena maculata twin-spotted,spiketail,G5,S2S3,,SR
Zoraena obliqua arrowhead,spiketail,G4,S2S3,,SR
Chloealtis conspersa,Sprinkled Locust,G5,S2S3,,SR
Conocephalus saltans,Prairie Meadow Katydid,G5,S1S2,,SR
Eritettix simplex,The Velvet-stripe Grasshopper,G5,S1,,ST
Hesperotettix viridis pratensis,snakeweed grasshopper,G5T5,S1S2,,ST
Leptysma marginicollis,Cattail Toothpick Grasshopper,G5,S1,,SE
Melanoplus borealis,Northern Spur-throat grasshopper,G5,S1,,SE
Melanoplus confusus,Pasture Spur-throat grasshopper,G5,S2,,SR
Melanoplus decoratus,Decorated melanoplus,GU,S2S3,,SR
Melanoplus fasciatus,Huckleberry Spur-throat Grasshopper,G5,S2,,SR
Melanoplus gracilis,Graceful Spur-throated Grasshopper,G5,S1S2,,SR
Melanoplus impudicus,Immodest Spur-throat Grasshopper,G4G5,S1,,SE
Melanoplus islandicus,Forest Locust,G5,S1,,SE
Melanoplus keeleri luridus,Keeler's Spur-throated Grasshopper,G5T5,S3S4,,SR
Melanoplus punctulatus,Grizzly Spur-throat Grasshopper,G5,S2,,SR
Melanoplus rotundipennis,Round-winged Spur-throat Grasshopper,G4G5,S1S2,,SR
Melanoplus tepidus,The Fearful Barrens Locust,GU,S1S3,,SR
Melanoplus viridipes viridipes,green-legged spur-throat grasshopper,G4,S2,,SR
Melanoplus walshii,Walsh's Locust,G4G5,S2,,SR
Neoconocephalus exiliscanorus,Slightly Musical Conehead,GNR,SNR,,SR
Neoconocephalus nebrascensis,Nebraska Conehead,GNR,S1S2,,SR
Orphulella pelidna,Spotted-wing Grasshopper,G5,S1,,SE
Orphulella speciosa,Pasture Locust,G5,S2S3,,SR
Pardalophora phoenicoptera,Orange-winged Grasshopper,G5,S1S2,,SR
Paroxya atlantica,Atlantic Spastic Grasshopper,GU,S2,,ST
Paroxya hoosieri,Hoosier Locust,G5,S2S3,,ST
Phoetaliotes nebrascensis,Large-headed Grasshopper,G5,S1S2,,ST
Pseudopomala brachyptera,Bunch Grass Locust,G5,S1,,ST
Psinidia fenestralis,Sand Locust,G5,S2,,SR
Stethophyma gracile,Northern Sedge Locust,G5,S1,,SE
Stethophyma lineatum,Striped Sedge Grasshopper,G5,S1S2,,ST
Trimerotropis maritima,Seaside Grasshopper,G5,S1S2,,ST
Acroneuria abnormis common,stone,G5,S2,,ST
Acroneuria covelli,Covell's stonefly,G2G3,S1,,SE
Acroneuria evoluta constricted,stone,G5,S2,,ST
Acroneuria hitchcocki,Kentucky Stone,GH,S1,,SE
Acroneuria lycorias,Boreal Stonefly,G5,S1,,SE
Acroneuria ozarkensis,Ozark stone,G2G3,S1,,SE
Agnetina annulipes,Southern Stone,G5,S1,,SE
Agnetina capitata northern,stone,G5,S2,,ST
Agnetina flavescens midwestern,stone,G5,S2,,ST
Allocapnia illinoensis,Illinois Snowfly,G3,S1,,SE
Allocapnia smithi three-lobed,snowfly,G4,S2,,ST
Alloperla hamata barbed,sallfly,G4,S2,,ST
Hydroperla crosbyi early,springfly,G5,S2,,ST
Hydroperla fugitans,Austin springfly,G3,S2,,ST
Isogenoides varians,Rock Island Springfly,G3G4,S1,,SE
Isoperla burksi banded,stripetail,G4,S2,,ST
Isoperla dicala sable,stripetail,G4G5,S2,,ST
Isoperla frisoni,Wisconsin Stripetail,G4G5,S1,,SE
Isoperla montana,Montaine stripetail,G4,S2,,ST
Leuctra alta,Alta Needlefly,G3G4Q,S1,,SE
Leuctra sibleyi brook,needlefly,G4,S2,,ST
Leuctra tenuis,Narrow-lobed Needlefly,G4G5,S1,,SE
Nemocapnia carolina,Southern Snowfly,G5,SX,,SX
Neoperla catharae slippery,stone,G5,S2,,ST
Neoperla coosa,Coosa Stone,G2,S1,,SE
Neoperla gaufini,Ohio stone,G4,S2,,ST
Neoperla osage,Osage Stone,G3G4,S1,,SE
Neoperla stewarti multispine,stone,G3G4,S2,,ST
Ostrocerca truncata truncate,forestfly,G4?,S2,,ST
Paracapnia angulata,Angulate Snowfly,G4G5,S1,,SE
Paragnetina media embossed,stone,G4G5,S2,,ST
Paraleuctra sara,Appalachian needlefly,G4G5,S2,,ST
Perlesta golconda,Two-lined Stone,GNR,S1,,SE
Perlesta ouabache,Wabash stone,GNR,S2,,ST
Perlesta shawnee,Shawnee Stone,G3,S1,,SE
Perlesta teaysia,Teays Stone,G4,S2,,ST
Perlesta xube,Pawnee Stone,G2,S1,,SE
Prostoia completa central,forestfly,G4G5,S2,,ST
Pteronarcys dorsata,American Salmonfly,G5,S1,,SE
Sweltsa hoffmani plateau,sallfly,G4?,S2,,ST
Taeniopteryx lita small,willowfly,G5,S2,,ST
Taeniopteryx maura spinyleg,willowfly,G4G5,S2,,ST
Taeniopteryx metequi shortwing,willowfly,G4G5,S2,,ST
Agapetus gelbae,An Agapetus Caddisfly,G3,S2,,ST
Agapetus illini,An Agapetus Caddisfly,G4,S2,,ST
Diplectrona metaqui,A Diplectronan Caddisfly,G4,S2,,ST
Goera stylata,A Northern Casemaker Caddisfly,G4,S1,,SE
Homoplectra doringa,A Homoplectran Caddisfly,G4,S1,,SE
Nectopsyche pavida,A Longhorned Casemaker Caddisfly,G5,S2,,SR
Pycnopsyche rossi,A Northern Casemaker Caddisfly,G3,S1,,SE
Setodes oligius,A Caddisfly,G4,S1,,SE
