Common Name,Scientific Name,Status,State,Taxon Key
Anjouan Island sparrowhawk,Accipiter francesii pusillus,Endangered,All,6066158
Anjouan scops owl,Otus rutilus capnodes,Endangered,All,5232283
Anthony's riversnail,Athearnia anthonyi,Endangered,All,5782551
Anthricinan yellow-faced bee,Hylaeus anthracinus,Endangered,All,1349739
Antioch Dunes evening-primrose,Oenothera deltoides ssp. howellii,Endangered,All,6428520
`Anunu,Sicyos albus,Endangered,All,
`Anunu,Sicyos macrophyllus,Endangered,All,
Apalachicola rosemary,Conradina glabra,Endangered,All,2927105
Apaporis River caiman,Caiman crocodilus apaporiensis,Endangered,All,6162968
Apennine chamois,Rupicapra rupicapra ornata,Endangered,All,5706425
Aplokating-palaoan,Psychotria malaspinae,Endangered,All,2921560
Appalachian elktoe,Alasmidonta raveneliana,Endangered,All,2287897
Appalachian monkeyface (pearlymussel),Theliderma sparsa,Endangered,All,5782385
Applegate's milk-vetch,Astragalus applegatei,Endangered,All,
Aquatic box turtle,Terrapene coahuila,Endangered,All,2443167
Arabian gazelle,Gazella gazella,Endangered,All,5220154
Arabian oryx,Oryx leucoryx,Endangered,All,5220164
Arabian ostrich,Struthio camelus syriacus,Endangered,All,6175925
Arabian tahr,Hemitragus jayakari,Endangered,All,5220173
Argali,Ovis ammon,Threatened,All,2441122
Argali,Ovis ammon,Endangered,All,2441122
Argentine angelshark,Squatina argentina,Endangered,All,2417805
Arizona Cliffrose,Purshia (=Cowania) subintegra,Endangered,All,5370310
Arizona eryngo,Eryngium sparganophyllum,Endangered,All,3034395
Arizona hedgehog cactus,Echinocereus arizonicus ssp. arizonicus,Endangered,All,7810711
Arkansas fatmucket,Lampsilis powellii,Threatened,All,2288135
Arkansas River shiner,Notropis girardi,Threatened,All,2362242
Armored snail,Marstonia pachyta,Endangered,All,2300122
Arroyo (=arroyo southwestern) toad,Anaxyrus californicus,Endangered,All,2422897
Aruba Island rattlesnake,Crotalus unicolor,Threatened,All,2444438
Ash-breasted tit-tyrant,Anairetes alpinus,Endangered,All,2482685
Ash-grey paintbrush,Castilleja cinerea,Threatened,All,3170589
Ash Meadows Amargosa pupfish,Cyprinodon nevadensis mionectes,Endangered,All,4284433
Ash Meadows blazingstar,Mentzelia leucophylla,Threatened,All,5331506
Ash Meadows gumplant,Grindelia fraxinipratensis,Threatened,All,3146287
Ash Meadows ivesia,Ivesia kingii var. eremica,Threatened,All,11317936
Ash meadows milk-vetch,Astragalus phoenix,Threatened,All,5345256
Ash Meadows naucorid,Ambrysus amargosus,Threatened,All,2020311
Ash Meadows speckled dace,Rhinichthys osculus nevadensis,Endangered,All,2359791
Ash Meadows sunray,Enceliopsis nudicaulis var. corrugata,Threatened,All,3132443
Ashy dogweed,Thymophylla tephroleuca,Endangered,All,3144436
Asian bonytongue,Scleropages formosus,Endangered,All,2402231
Asian elephant,Elephas maximus,Endangered,All,5219461
Asian golden (=Temmnick's) cat,Catopuma (=Felis) temminckii,Endangered,All,2435094
Asian tapir,Tapirus indicus,Endangered,All,7818962
Asian wild ass,Equus hemionus,Endangered,All,2440893
Assimulans yellow-faced bee,Hylaeus assimulans,Endangered,All,1349567
Atitlan grebe,Podilymbus gigas,Endangered,All,2482076
Atlantic humpback dolphin,Sousa teuszii,Endangered,All,2440505
Atlantic Humpback Dolphin,Sousa teuszii,Endangered,All,2440505
Atlantic pigtoe,Fusconaia masoni,Threatened,All,2288184
Atlantic salmon,Salmo salar,Endangered,All,7595433
Atlantic salt marsh snake,Nerodia clarkii taeniata,Threatened,All,9561070
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Endangered,All,4287132
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Endangered,All,4287132
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Endangered,All,4287132
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Endangered,All,4287132
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Threatened,All,4287132
Attwater's greater prairie-chicken,Tympanuchus cupido attwateri,Endangered,All,6180015
Audouin's gull,Larus audouinii,Endangered,All,7406504
Aukland Island rail,Rallus pectoralis muelleri,Endangered,All,5228187
Aupaka,Isodendrion hosakae,Endangered,All,2874470
Aupaka,Isodendrion laurifolium,Endangered,All,2874477
Aupaka,Isodendrion longifolium,Threatened,All,2874468
Austin blind Salamander,Eurycea waterlooensis,Endangered,All,5218361
Australian native mouse,Notomys aquilo,Endangered,All,2438978
Australian native mouse,Zyzomys pedunculatus,Endangered,All,2439329
Autumn Buttercup,Ranunculus aestivalis (=acriformis),Endangered,All,3033315
Avahi,Avahi laniger (entire genus),Endangered,All,2436426
Avon Park harebells,Crotalaria avonensis,Endangered,All,2942306
`Awikiwiki,Canavalia molokaiensis,Endangered,All,2962046
`Awikiwiki,Canavalia napaliensis,Endangered,All,2962081
`Awikiwiki,Canavalia pubescens,Endangered,All,2962148
Awiwi,Schenkia sebaeoides,Endangered,All,5595251
'Awiwi,Kadua cookiana,Endangered,All,2903861
Aye-aye,Daubentonia madagascariensis,Endangered,All,5219587
Ayumodoki (loach),Hymenophysa curta,Endangered,All,8315311
Azores wood pigeon,Columba palumbus azorica,Endangered,All,2495459
Babirusa,Babyrousa babyrussa,Endangered,All,2441209
Bactrian camel,Camelus bactrianus,Endangered,All,2441238
Bactrian deer,Cervus elaphus bactrianus,Endangered,All,4262355
Bahaman or Cuban parrot,Amazona leucocephala,Endangered,All,2479655
Bakersfield cactus,Opuntia treleasei,Endangered,All,5621328
Baker's larkspur,Delphinium bakeri,Endangered,All,3033732
Balcones spike,Fusconaia iheringi,Endangered,All,11144793
Baluchistan bear,Ursus thibetanus gedrosianus,Endangered,All,6163860
Banbury Springs limpet,Idaholanx fresti,Endangered,All,
Banded cotinga,Cotinga maculata,Endangered,All,5230385
Banded hare wallaby,Lagostrophus fasciatus,Endangered,All,2440134
Banded wattle-eye,Platysteira laticincta,Endangered,All,2492315
Band-rumped Storm-petrel,Hydrobates castro,Endangered,All,2482001
Banggai cardinalfish,Pterapogon kauderni,Threatened,All,2397627
Bannerman's turaco,Tauraco bannermani,Endangered,All,2475229
Banteng,Bos javanicus,Endangered,All,2441027
Barbados yellow warbler (=wood),Dendroica petechia petechia,Endangered,All,7341835
Barbary deer,Cervus elaphus barbarus,Endangered,All,6165148
Barbary hyena,Hyaena hyaena barbara,Endangered,All,5218777
Barbary serval,Leptailurus (=Felis) serval constantina,Endangered,All,2435172
Barbary stag,Cervus elaphus barbarus,Endangered,All,6165148
Bariaco,Trichilia triacantha,Endangered,All,3190495
Barneby reed-mustard,Schoenocrambe barnebyi,Endangered,All,3047784
Barneby ridge-cress,Lepidium barnebyanum,Endangered,All,5376581
Barred bandicoot,Perameles bougainville,Endangered,All,5219458
Barrens topminnow,Fundulus julisia,Endangered,All,5203656
Barrington land iguana,Conolophus pallidus,Endangered,All,5224630
Bar-tailed pheasant,Syrmaticus humaie,Endangered,All,
Barton Springs salamander,Eurycea sosorum,Endangered,All,5218352
Bartram's hairstreak Butterfly,Strymon acis bartrami,Endangered,All,6237359
Bartram's stonecrop,Graptopetalum bartramii,Threatened,All,2985703
Bay checkerspot butterfly,Euphydryas editha bayensis,Threatened,All,1908011
Bayou darter,Etheostoma rubrum,Threatened,All,2382317
Beach jacquemontia,Jacquemontia reclinata,Endangered,All,5341718
beach layia,Layia carnosa,Threatened,All,5392987
bearded Seal,Erignathus barbatus nauticus,Threatened,All,6163803
bearded Seal,Erignathus barbatus nauticus,Threatened,All,6163803
beardless chinchweed,Pectis imberbis,Endangered,All,5405538
Bear Valley sandwort,Arenaria ursina,Threatened,All,3085285
Beautiful goetzea,Goetzea elegans,Endangered,All,2928899
Beautiful pawpaw,Deeringothamnus pulchellus,Endangered,All,3156175
Beautiful shiner,Cyprinella formosa,Threatened,All,5207648
Beaver (Mongolian),Castor fiber birulai,Endangered,All,4409131
Bee Creek Cave harvestman,Texella reddelli,Endangered,All,2182073
Behren's silverspot butterfly,Speyeria zerene behrensii,Endangered,All,4299420
Beluga sturgeon,Huso huso,Threatened,All,2402105
beluga whale,Delphinapterus leucas,Endangered,All,5220003
Ben Lomond spineflower,Chorizanthe pungens var. hartwegiana,Endangered,All,4034902
Ben Lomond wallflower,Erysimum teretifolium,Endangered,All,3048368
Benton County cave crayfish,Cambarus aculabrum,Endangered,All,2227319
Berenghenas halomtano,Solanum guamense,Endangered,All,2929725
Bermuda petrel,Pterodroma cahow,Endangered,All,2481465
Big Bend gambusia,Gambusia gaigei,Endangered,All,2350638
Big Creek Crayfish,Faxonius peruncus,Threatened,All,8938838
big-leaved crownbeard,Verbesina dissita,Threatened,All,3148061
Big Pine partridge pea,Chamaecrista lineata keyensis,Endangered,All,2950404
Big Sandy crayfish,Cambarus callainus,Threatened,All,8899029
Big Spring spinedace,Lepidomeda mollispinis pratensis,Threatened,All,2361895
Birdwing pearlymussel,Lemiox rimosus,Endangered,All,2288178
Black Abalone,Haliotis cracherodii,Endangered,All,2293077
black-breasted puffleg,Eriocnemis nigrivestis,Endangered,All,5228530
Blackburn's sphinx moth,Manduca blackburni,Endangered,All,1864007
Black caiman,Melanosuchus niger,Endangered,All,2441409
Black-capped Petrel,Pterodroma hasitata,Endangered,All,2481477
Blackchin guitarfish,Rhinobatos cemiculus,Threatened,All,7532383
Black clubshell,Pleurobema curtum,Endangered,All,2288101
Black colobus monkey,Colobus satanas,Endangered,All,5963046
Black-faced impala,Aepyceros melampus petersi,Endangered,All,4262729
Black-footed cat,Felis nigripes,Endangered,All,2435037
Black-footed ferret,Mustela nigripes,Endangered,All,5218985
Black-fronted piping-guan,Pipile jacutinga,Endangered,All,2482303
Black hooded (black-headed) antwren,Formicivora erythronotos,Endangered,All,2490044
Black howler monkey,Alouatta pigra,Threatened,All,2436653
Black lace cactus,Echinocereus reichenbachii var. albertii,Endangered,All,10906479
Blackline Hawaiian damselfly,Megalagrion nigrohamatum nigrolineatum,Endangered,All,6243141
