County,Scientific Name,Common Name,Status,Category,Date,Count
Stephenson,Emydoidea blandingii,Blanding's Turtle,LE,Turtles,6/7/2022,1
Stephenson,Eurynia dilatata,Spike,LE,Freshwater Mussels,8/1/2019,3
Stephenson,Helianthus giganteus,Tall Sunflower,LE,Dicots,8/10/2011,1
Stephenson,Betula alleghaniensis,Yellow Birch,LE,Dicots,2013,1
Stephenson,Juglans cinerea,Butternut,LE,Dicots,9/27/2023,2
Stephenson,Ranunculus rhomboideus,Prairie Buttercup,LE,Dicots,1977-SP,1
Stephenson,Sullivantia sullivantii,Sullivantia,LT,Dicots,6/17/1993,1
Stephenson,Castilleja sessiliflora,Downy Yellow Painted Cup,LE,Dicots,6/25/2020,1
Stephenson,Sceptridium multifidum,Northern Grape Fern,LE,"Adder's-tongues, Grapeferns, and Moonworts",8/24/1978,1
Stephenson,Bombus affinis,Rusty Patched Bumble Bee,LE,Bumble Bees,8/29/2019,1
Sullivan,Ichthyomyzon fossor,Northern Brook Lamprey,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",7/20/1983,1
Sullivan,Hybopsis amblops,Bigeye Chub,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",9/23/2015,1
Sullivan,Moxostoma carinatum,River Redhorse,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",8/28/2019,1
Sullivan,Elliptio crassidens,Elephant-ear,LE,Freshwater Mussels,1988-09,1
Sullivan,Reginaia ebenus,Ebonyshell,LE,Freshwater Mussels,1999-06,1
Sullivan,Quadrula metanevra,Monkeyface,LT,Freshwater Mussels,8/17/2011,2
Tazewell,Pseudacris illinoensis,Illinois Chorus Frog,LT,Amphibians,2024,9
Tazewell,Nycticorax nycticorax,Black-crowned Night-Heron,LE,Birds,6/26/2008,1
Tazewell,Pandion haliaetus,Osprey,LT,Birds,7/10/2021,2
Tazewell,Asio flammeus,Short-eared Owl,LE,Birds,2/10/2015,1
Tazewell,Antrostomus carolinensis,Chuck-will's-widow,LT,Birds,6/8/1998,1
Tazewell,Lanius ludovicianus,Loggerhead Shrike,LE,Birds,7/5/1990,2
