County,Scientific Name,Common Name,Class,Order,Family,Federal Status,State Status,SGCN,Most Recent Observation Year
Fulton,Farancia abacura reinwardtii,Western Mudsnake,Reptilia,Squamata,Colubridae,N,S,Yes,2023
Fulton,Nerodia cyclopion,Mississippi Green Watersnake,Reptilia,Squamata,Colubridae,N,E,Yes,2008
Fulton,Nerodia fasciata confluens,Broad-banded Watersnake,Reptilia,Squamata,Colubridae,N,E,Yes,2024
Fulton,Thamnophis proximus proximus,Western Ribbonsnake,Reptilia,Squamata,Colubridae,N,E,Yes,2024
Fulton,Aspidoscelis sexlineatus,Six-lined Racerunner,Reptilia,Squamata,Teiidae,N,S,Yes,1990
Gallatin,Ictiobus niger,Black Buffalo,Actinopterygii,Cypriniformes,Catostomidae,N,S,Yes,2021
Gallatin,Lithobates pipiens,Northern Leopard Frog,Amphibia,Anura,Ranidae,N,S,Yes,1960
Gallatin,Accipiter striatus,Sharp-shinned Hawk,Aves,Accipitriformes,Accipitridae,N,S,Yes,2011
Gallatin,Circus hudsonius,Northern Harrier,Aves,Accipitriformes,Accipitridae,N,T,Yes,2014
Gallatin,Haliaeetus leucocephalus,Bald Eagle,Aves,Accipitriformes,Accipitridae,N,S,Yes,2021
Gallatin,Pandion haliaetus,Osprey,Aves,Accipitriformes,Pandionidae,N,S,Yes,2008
Gallatin,Lophodytes cucullatus,Hooded Merganser,Aves,Anseriformes,Anatidae,N,T,Yes,2014
Gallatin,Falco peregrinus,Peregrine Falcon,Aves,Falconiformes,Falconidae,N,E,Yes,2023
Gallatin,Lanius ludovicianus,Loggerhead Shrike,Aves,Passeriformes,Laniidae,N,S,Yes,1996
Gallatin,Ardea alba,Great Egret,Aves,Pelecaniformes,Ardeidae,N,T,Yes,2002
Gallatin,Bubulcus ibis,Cattle Egret,Aves,Pelecaniformes,Ardeidae,N,S,No,2007
Gallatin,Nycticorax nycticorax,Black-crowned Night-heron,Aves,Pelecaniformes,Ardeidae,N,T,Yes,2007
Gallatin,Podilymbus podiceps,Pied-billed Grebe,Aves,Podicipediformes,Podicipedidae,N,E,Yes,2002
Gallatin,Alasmidonta viridis,Slippershell Mussel,Bivalvia,Unionoida,Unionidae,N,S,Yes,2025
Gallatin,Anodontoides ferussacianus,Cylindrical Papershell,Bivalvia,Unionoida,Unionidae,N,S,Yes,1981
Gallatin,Elliptio crassidens,Elephantear,Bivalvia,Unionoida,Unionidae,N,S,Yes,1994
Gallatin,Pleurobema clava,Clubshell,Bivalvia,Unionoida,Unionidae,E,E,Yes,2019
Gallatin,Simpsonaias ambigua,Salamander Mussel,Bivalvia,Unionoida,Unionidae,N,T,Yes,1990
Garrard,Ictiobus niger,Black Buffalo,Actinopterygii,Cypriniformes,Catostomidae,N,S,Yes,2011
Garrard,Accipiter striatus,Sharp-shinned Hawk,Aves,Accipitriformes,Accipitridae,N,S,Yes,2014
Garrard,Haliaeetus leucocephalus,Bald Eagle,Aves,Accipitriformes,Accipitridae,N,S,Yes,2019
Garrard,Falco peregrinus,Peregrine Falcon,Aves,Falconiformes,Falconidae,N,E,Yes,2023
Garrard,Dolichonyx oryzivorus,Bobolink,Aves,Passeriformes,Icteridae,N,S,Yes,2012
Garrard,Lanius ludovicianus,Loggerhead Shrike,Aves,Passeriformes,Laniidae,N,S,Yes,2005
Garrard,Centronyx henslowii,Henslow's Sparrow,Aves,Passeriformes,Passerellidae,N,S,Yes,2008
Garrard,Passerculus sandwichensis,Savannah Sparrow,Aves,Passeriformes,Passerellidae,N,S,Yes,2012
Garrard,Empidonax minimus,Least Flycatcher,Aves,Passeriformes,Tyrannidae,N,E,Yes,2014
Garrard,Tyto furcata,American Barn Owl,Aves,Strigiformes,Tytonidae,N,S,Yes,2022
Garrard,Alasmidonta viridis,Slippershell Mussel,Bivalvia,Unionoida,Unionidae,N,S,Yes,1998
Garrard,Fusconaia subrotunda,Longsolid,Bivalvia,Unionoida,Unionidae,T,T,Yes,1996
Garrard,Plethobasus cyphyus,Sheepnose,Bivalvia,Unionoida,Unionidae,E,E,Yes,1996
Garrard,Pleurobema clava,Clubshell,Bivalvia,Unionoida,Unionidae,E,E,Yes,1999
Garrard,Myotis grisescens,Gray Myotis,Mammalia,Chiroptera,Vespertilionidae,E,T,Yes,2008
Garrard,Myotis lucifugus,Little Brown Bat,Mammalia,Chiroptera,Vespertilionidae,N,T,Yes,2008
Garrard,Perimyotis subflavus,Tricolored Bat,Mammalia,Chiroptera,Vespertilionidae,PE,T,Yes,2013
Garrard,Plestiodon anthracinus,Coal Skink,Reptilia,Squamata,Scincidae,N,E,Yes,2019
Grant,Lithobates pipiens,Northern Leopard Frog,Amphibia,Anura,Ranidae,N,S,Yes,2008
Grant,Accipiter striatus,Sharp-shinned Hawk,Aves,Accipitriformes,Accipitridae,N,S,Yes,2011
Grant,Circus hudsonius,Northern Harrier,Aves,Accipitriformes,Accipitridae,N,T,Yes,1974
Grant,Haliaeetus leucocephalus,Bald Eagle,Aves,Accipitriformes,Accipitridae,N,S,Yes,2021
Grant,Lophodytes cucullatus,Hooded Merganser,Aves,Anseriformes,Anatidae,N,T,Yes,2010
Grant,Actitis macularius,Spotted Sandpiper,Aves,Charadriiformes,Scolopacidae,N,E,Yes,2011
Grant,Certhia americana,Brown Creeper,Aves,Passeriformes,Certhiidae,N,T,No,2007
Grant,Lanius ludovicianus,Loggerhead Shrike,Aves,Passeriformes,Laniidae,N,S,Yes,1996
Grant,Centronyx henslowii,Henslow's Sparrow,Aves,Passeriformes,Passerellidae,N,S,Yes,2010
Grant,Passerculus sandwichensis,Savannah Sparrow,Aves,Passeriformes,Passerellidae,N,S,Yes,2013
Grant,Cistothorus stellaris,Sedge Wren,Aves,Passeriformes,Troglodytidae,N,S,Yes,2005
Grant,Thryomanes bewickii,Bewick's Wren,Aves,Passeriformes,Troglodytidae,N,H,Yes,1996
Grant,Nycticorax nycticorax,Black-crowned Night-heron,Aves,Pelecaniformes,Ardeidae,N,T,Yes,2011
Grant,Podilymbus podiceps,Pied-billed Grebe,Aves,Podicipediformes,Podicipedidae,N,E,Yes,2012
Grant,Asio otus,Long-eared Owl,Aves,Strigiformes,Strigidae,N,E,Yes,1987
Grant,Tyto furcata,American Barn Owl,Aves,Strigiformes,Tytonidae,N,S,Yes,2014
Grant,Alasmidonta viridis,Slippershell Mussel,Bivalvia,Unionoida,Unionidae,N,S,Yes,2021
Grant,Anodontoides ferussacianus,Cylindrical Papershell,Bivalvia,Unionoida,Unionidae,N,S,Yes,2006
Grant,Simpsonaias ambigua,Salamander Mussel,Bivalvia,Unionoida,Unionidae,N,T,Yes,1986
Grant,Myotis septentrionalis,Northern Long-Eared Bat,Mammalia,Chiroptera,Vespertilionidae,E,E,Yes,2006
Grant,Myotis sodalis,Indiana Bat,Mammalia,Chiroptera,Vespertilionidae,E,E,Yes,2014
Grant,Perimyotis subflavus,Tricolored Bat,Mammalia,Chiroptera,Vespertilionidae,PE,T,Yes,2006
Graves,Lepomis marginatus,Dollar Sunfish,Actinopterygii,Centrarchiformes,Centrarchidae,N,E,Yes,2023
Graves,Lepomis miniatus,Redspotted Sunfish,Actinopterygii,Centrarchiformes,Centrarchidae,N,T,Yes,2025
Graves,Erimyzon sucetta,Lake Chubsucker,Actinopterygii,Cypriniformes,Catostomidae,N,T,Yes,2015
Graves,Moxostoma poecilurum,Blacktail Redhorse,Actinopterygii,Cypriniformes,Catostomidae,N,E,Yes,2023
Graves,Campostoma pullum,Finescale Stoneroller,Actinopterygii,Cypriniformes,Leuciscidae,N,S,No,2021
Graves,Cyprinella camura,Bluntface Shiner,Actinopterygii,Cypriniformes,Leuciscidae,N,E,Yes,2025
Graves,Cyprinella venusta,Blacktail Shiner,Actinopterygii,Cypriniformes,Leuciscidae,N,S,Yes,2025
Graves,Ericymba dorsalis,Bigmouth Shiner,Actinopterygii,Cypriniformes,Leuciscidae,N,S,Yes,2021
Graves,Hybognathus hayi,Cypress Minnow,Actinopterygii,Cypriniformes,Leuciscidae,N,E,Yes,2018
Graves,Notropis maculatus,Taillight Shiner,Actinopterygii,Cypriniformes,Leuciscidae,N,T,Yes,2007
Graves,Umbra limi,Central Mudminnow,Actinopterygii,Esociformes,Esocidae,N,T,Yes,2021
Graves,Etheostoma chienense,Relict Darter,Actinopterygii,Perciformes,Percidae,T,E,Yes,2023
Graves,Etheostoma lynceum,Brighteye Darter,Actinopterygii,Perciformes,Percidae,N,E,Yes,2025
Graves,Etheostoma parvipinne,Goldstripe Darter,Actinopterygii,Perciformes,Percidae,N,E,Yes,2022
Graves,Etheostoma proeliare,Cypress Darter,Actinopterygii,Perciformes,Percidae,N,T,Yes,2016
Graves,Etheostoma pyrrhogaster,Firebelly Darter,Actinopterygii,Perciformes,Percidae,N,E,Yes,2023
Graves,Etheostoma swaini,Gulf Darter,Actinopterygii,Perciformes,Percidae,N,E,Yes,2025
Graves,Etheostoma xanthovum,Clarks Darter,Actinopterygii,Perciformes,Percidae,N,S,No,2022
Graves,Noturus hildebrandi,Least Madtom,Actinopterygii,Siluriformes,Ictaluridae,N,E,Yes,2025
Graves,Noturus phaeus,Brown Madtom,Actinopterygii,Siluriformes,Ictaluridae,N,E,Yes,2025
Graves,Lithobates areolatus circulosus,Northern Crawfish Frog,Amphibia,Anura,Ranidae,N,S,Yes,2014
Graves,Amphiuma tridactylum,Three-toed Amphiuma,Amphibia,Caudata,Amphiumidae,N,E,Yes,2024
Graves,Eurycea guttolineata,Three-lined Salamander,Amphibia,Caudata,Plethodontidae,N,T,Yes,2020
Graves,Haliaeetus leucocephalus,Bald Eagle,Aves,Accipitriformes,Accipitridae,N,S,Yes,2017
Graves,Ictinia mississippiensis,Mississippi Kite,Aves,Accipitriformes,Accipitridae,N,S,No,2004
Graves,Spatula discors,Blue-winged Teal,Aves,Anseriformes,Anatidae,N,T,No,1996
Graves,Gallinula galeata,Common Gallinule,Aves,Gruiformes,Rallidae,N,T,Yes,2004
Graves,Corvus ossifragus,Fish Crow,Aves,Passeriformes,Corvidae,N,S,No,2009
Graves,Riparia riparia,Bank Swallow,Aves,Passeriformes,Hirundinidae,N,S,Yes,2007
Graves,Lanius ludovicianus,Loggerhead Shrike,Aves,Passeriformes,Laniidae,N,S,Yes,2015
Graves,Centronyx henslowii,Henslow's Sparrow,Aves,Passeriformes,Passerellidae,N,S,Yes,2006
Graves,Peucaea aestivalis,Bachman's Sparrow,Aves,Passeriformes,Passerellidae,N,E,Yes,1996
