Common Name,Scientific Name,Status,State
Aquatic box turtle,Terrapene coahuila,Endangered,All
Arabian gazelle,Gazella gazella,Endangered,All
Arabian oryx,Oryx leucoryx,Endangered,All
Arabian ostrich,Struthio camelus syriacus,Endangered,All
Arabian tahr,Hemitragus jayakari,Endangered,All
Argali,Ovis ammon,Threatened,All
Argali,Ovis ammon,Endangered,All
Argentine angelshark,Squatina argentina,Endangered,All
Arizona Cliffrose,Purshia (=Cowania) subintegra,Endangered,All
Arizona eryngo,Eryngium sparganophyllum,Endangered,All
Arizona hedgehog cactus,Echinocereus arizonicus ssp. arizonicus,Endangered,All
Arkansas fatmucket,Lampsilis powellii,Threatened,All
Arkansas River shiner,Notropis girardi,Threatened,All
Armored snail,Marstonia pachyta,Endangered,All
Arroyo (=arroyo southwestern) toad,Anaxyrus californicus,Endangered,All
Aruba Island rattlesnake,Crotalus unicolor,Threatened,All
Ash-breasted tit-tyrant,Anairetes alpinus,Endangered,All
Ash-grey paintbrush,Castilleja cinerea,Threatened,All
Ash Meadows Amargosa pupfish,Cyprinodon nevadensis mionectes,Endangered,All
Ash Meadows blazingstar,Mentzelia leucophylla,Threatened,All
Ash Meadows gumplant,Grindelia fraxinipratensis,Threatened,All
Ash Meadows ivesia,Ivesia kingii var. eremica,Threatened,All
Ash meadows milk-vetch,Astragalus phoenix,Threatened,All
Ash Meadows naucorid,Ambrysus amargosus,Threatened,All
Ash Meadows speckled dace,Rhinichthys osculus nevadensis,Endangered,All
Ash Meadows sunray,Enceliopsis nudicaulis var. corrugata,Threatened,All
Ashy dogweed,Thymophylla tephroleuca,Endangered,All
Asian bonytongue,Scleropages formosus,Endangered,All
Asian elephant,Elephas maximus,Endangered,All
Asian golden (=Temmnick's) cat,Catopuma (=Felis) temminckii,Endangered,All
Asian tapir,Tapirus indicus,Endangered,All
Asian wild ass,Equus hemionus,Endangered,All
Assimulans yellow-faced bee,Hylaeus assimulans,Endangered,All
Atitlan grebe,Podilymbus gigas,Endangered,All
Atlantic humpback dolphin,Sousa teuszii,Endangered,All
Atlantic Humpback Dolphin,Sousa teuszii,Endangered,All
Atlantic pigtoe,Fusconaia masoni,Threatened,All
Atlantic salmon,Salmo salar,Endangered,All
Atlantic salt marsh snake,Nerodia clarkii taeniata,Threatened,All
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Endangered,All
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Endangered,All
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Endangered,All
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Endangered,All
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Threatened,All
Attwater's greater prairie-chicken,Tympanuchus cupido attwateri,Endangered,All
Audouin's gull,Larus audouinii,Endangered,All
Aukland Island rail,Rallus pectoralis muelleri,Endangered,All
Aupaka,Isodendrion hosakae,Endangered,All
Aupaka,Isodendrion laurifolium,Endangered,All
Aupaka,Isodendrion longifolium,Threatened,All
Austin blind Salamander,Eurycea waterlooensis,Endangered,All
Australian native mouse,Notomys aquilo,Endangered,All
Australian native mouse,Zyzomys pedunculatus,Endangered,All
Autumn Buttercup,Ranunculus aestivalis (=acriformis),Endangered,All
Avahi,Avahi laniger (entire genus),Endangered,All
Avon Park harebells,Crotalaria avonensis,Endangered,All
`Awikiwiki,Canavalia molokaiensis,Endangered,All
`Awikiwiki,Canavalia napaliensis,Endangered,All
`Awikiwiki,Canavalia pubescens,Endangered,All
Awiwi,Schenkia sebaeoides,Endangered,All
'Awiwi,Kadua cookiana,Endangered,All
Aye-aye,Daubentonia madagascariensis,Endangered,All
Ayumodoki (loach),Hymenophysa curta,Endangered,All
Azores wood pigeon,Columba palumbus azorica,Endangered,All
Babirusa,Babyrousa babyrussa,Endangered,All
Bactrian camel,Camelus bactrianus,Endangered,All
Bactrian deer,Cervus elaphus bactrianus,Endangered,All
Bahaman or Cuban parrot,Amazona leucocephala,Endangered,All
Bakersfield cactus,Opuntia treleasei,Endangered,All
Baker's larkspur,Delphinium bakeri,Endangered,All
Balcones spike,Fusconaia iheringi,Endangered,All
Baluchistan bear,Ursus thibetanus gedrosianus,Endangered,All
Banbury Springs limpet,Idaholanx fresti,Endangered,All
Banded cotinga,Cotinga maculata,Endangered,All
Banded hare wallaby,Lagostrophus fasciatus,Endangered,All
Banded wattle-eye,Platysteira laticincta,Endangered,All
Band-rumped Storm-petrel,Hydrobates castro,Endangered,All
Banggai cardinalfish,Pterapogon kauderni,Threatened,All
Bannerman's turaco,Tauraco bannermani,Endangered,All
Banteng,Bos javanicus,Endangered,All
Barbados yellow warbler (=wood),Dendroica petechia petechia,Endangered,All
Barbary deer,Cervus elaphus barbarus,Endangered,All
Barbary hyena,Hyaena hyaena barbara,Endangered,All
Barbary serval,Leptailurus (=Felis) serval constantina,Endangered,All
Barbary stag,Cervus elaphus barbarus,Endangered,All
Bariaco,Trichilia triacantha,Endangered,All
Barneby reed-mustard,Schoenocrambe barnebyi,Endangered,All
Barneby ridge-cress,Lepidium barnebyanum,Endangered,All
Barred bandicoot,Perameles bougainville,Endangered,All
Barrens topminnow,Fundulus julisia,Endangered,All
Barrington land iguana,Conolophus pallidus,Endangered,All
Bar-tailed pheasant,Syrmaticus humaie,Endangered,All
Barton Springs salamander,Eurycea sosorum,Endangered,All
Bartram's hairstreak Butterfly,Strymon acis bartrami,Endangered,All
Bartram's stonecrop,Graptopetalum bartramii,Threatened,All
Bay checkerspot butterfly,Euphydryas editha bayensis,Threatened,All
Bayou darter,Etheostoma rubrum,Threatened,All
Beach jacquemontia,Jacquemontia reclinata,Endangered,All
beach layia,Layia carnosa,Threatened,All
bearded Seal,Erignathus barbatus nauticus,Threatened,All
bearded Seal,Erignathus barbatus nauticus,Threatened,All
beardless chinchweed,Pectis imberbis,Endangered,All
Bear Valley sandwort,Arenaria ursina,Threatened,All
Beautiful goetzea,Goetzea elegans,Endangered,All
Beautiful pawpaw,Deeringothamnus pulchellus,Endangered,All
Beautiful shiner,Cyprinella formosa,Threatened,All
Beaver (Mongolian),Castor fiber birulai,Endangered,All
Bee Creek Cave harvestman,Texella reddelli,Endangered,All
Behren's silverspot butterfly,Speyeria zerene behrensii,Endangered,All
Beluga sturgeon,Huso huso,Threatened,All
