Common name,Scientific name,status,state
Deep-throat vertigo,Vertigo nylanderi,Endangered,Michigan
Delicate vertigo,Vertigo bollesiana,Threatened,Michigan
Eastern pondmussel,Sagittunio nasutus,Endangered,Michigan
Fawnsfoot,Truncilla donaciformis,Endangered,Michigan
Foster mantleslug,Pallifera fosteri,Threatened,Michigan
Hickorynut,Obovaria olivaria,Endangered,Michigan
Hubricht's vertigo,Vertigo hubrichti,Endangered,Michigan
Lambda snaggletooth,Gastrocopta holzingeri,Endangered,Michigan
Lilliput,Toxolasma parvum,Endangered,Michigan
Northern riffleshell,Epioblasma rangiana,Endangered,Michigan
Pleistocene catinella,Catinella exile,Threatened,Michigan
Proud globe,Mesodon elevatus,Threatened,Michigan
Purple lilliput,Toxolasma lividus,Endangered,Michigan
Purple wartyback,Cyclonaias tuberculata,Threatened,Michigan
Rayed bean,Paetulunio fabalis,Endangered,Michigan
Round hickorynut,Obovaria subrotunda,Endangered,Michigan
Salamander mussel,Simpsonaias ambigua,Endangered,Michigan
Six-whorl vertigo,Vertigo morsei,Endangered,Michigan
Slippershell,Alasmidonta viridis,Threatened,Michigan
Snuffbox,Epioblasma triquetra,Endangered,Michigan
Sterki's granule,Guppya sterkii,Endangered,Michigan
Threehorn wartyback,Obliquaria reflexa,Endangered,Michigan
Wavyrayed lampmussel,Lampsilis fasciola,Threatened,Michigan
White catspaw,Epioblasma perobliqua,Endangered,Michigan
Alpine bistort,Bistorta vivipara,Threatened,Michigan
Alpine blueberry,Vaccinium uliginosum,Threatened,Michigan
Alpine bluegrass,Poa alpina,Threatened,Michigan
Alpine sainfoin,Hedysarum alpinum,Endangered,Michigan
American chestnut,Castanea dentata,Endangered,Michigan
American rock-brake,Cryptogramma acrostichoides,Threatened,Michigan
Annual hedge hyssop,Gratiola virginiana,Threatened,Michigan
Arrowhead,Sagittaria montevidensis,Threatened,Michigan
Ashy whitlow grass,Draba cana,Endangered,Michigan
Assiniboia sedge,Carex assiniboinensis,Threatened,Michigan
Atlantic blue-eyed-grass,Sisyrinchium atlanticum,Threatened,Michigan
Awlwort,Subularia aquatica,Endangered,Michigan
Azure bluet,Houstonia caerulea,Threatened,Michigan
Bastard pennyroyal,Trichostema dichotomum,Threatened,Michigan
Bayonet rush,Juncus militaris,Threatened,Michigan
Beach three-awned grass,Aristida tuberculosa,Endangered,Michigan
Beard tongue,Penstemon calycosus,Threatened,Michigan
Bedstraw,Galium kamtschaticum,Endangered,Michigan
Big-leaf sandwort,Moehringia macrophylla,Threatened,Michigan
Black crowberry,Empetrum nigrum,Threatened,Michigan
Black sedge,Carex nigra,Endangered,Michigan
Black twinberry,Lonicera involucrata,Threatened,Michigan
Bladderwort,Utricularia subulata,Threatened,Michigan
Blue-eyed-grass,Sisyrinchium strictum,Threatened,Michigan
Blue-eyed-Mary,Collinsia verna,Threatened,Michigan
Blunt-lobed woodsia,Woodsia obtusa,Threatened,Michigan
Bog cotton,Eriophorum russeolum,Threatened,Michigan
Broad-leaved sedge,Carex platyphylla,Endangered,Michigan
Broomrape,Orobanche fasciculata,Threatened,Michigan
Bulrush sedge,Carex scirpoidea,Threatened,Michigan
Calypso,Calypso bulbosa,Threatened,Michigan
Canada rice grass,Piptatheropsis canadensis,Threatened,Michigan
Canadian burnet,Sanguisorba canadensis,Endangered,Michigan
Canbyi's bluegrass,Poa secunda,Endangered,Michigan
Carey's smartweed,Persicaria careyi,Threatened,Michigan
Cattail sedge,Carex typhina,Threatened,Michigan
Chives,Allium schoenoprasum,Threatened,Michigan
Climbing fern,Lygodium palmatum,Endangered,Michigan
Climbing fumitory,Adlumia fungosa,Threatened,Michigan
Common eyebright,Euphrasia nemorosa,Threatened,Michigan
Compass plant,Silphium laciniatum,Endangered,Michigan
Corn salad,Valerianella umbilicata,Endangered,Michigan
Cranefly orchid,Tipularia discolor,Endangered,Michigan
Cream wild indigo,Baptisia leucophaea,Endangered,Michigan
Creeping St. John's-wort,Hypericum adpressum,Endangered,Michigan
Creeping whitlow grass,Draba reptans,Threatened,Michigan
Cup plant,Silphium perfoliatum,Threatened,Michigan
Devil's club,Oplopanax horridus,Threatened,Michigan
Downy gentian,Gentiana puberulenta,Endangered,Michigan
Downy sunflower,Helianthus mollis,Threatened,Michigan
Dropseed,Sporobolus clandestinus,Endangered,Michigan
Drummond's aster,Symphyotrichum drummondii,Threatened,Michigan
Dwarf bilberry,Vaccinium cespitosum,Threatened,Michigan
Dwarf burhead,Echinodorus tenellus,Endangered,Michigan
Dwarf lake iris,Iris lacustris,Threatened,Michigan
Dwarf milkweed,Asclepias ovalifolia,Endangered,Michigan
Dwarf raspberry,Rubus acaulis,Threatened,Michigan
Dwarf spike-rush,Eleocharis parvula,Endangered,Michigan
Eastern few-fruited sedge,Carex oligocarpa,Threatened,Michigan
Edible valerian,Valeriana edulis var. ciliata,Threatened,Michigan
Encrusted saxifrage,Saxifraga paniculata,Threatened,Michigan
Engelmann's quillwort,Isoetes engelmannii,Endangered,Michigan
Evening campion,Silene nivea,Threatened,Michigan
Fairy bells,Prosartes hookeri,Threatened,Michigan
False asphodel,Tofieldia pusilla,Threatened,Michigan
False hop sedge,Carex lupuliformis,Threatened,Michigan
False pennyroyal,Trichostema brachiatum,Threatened,Michigan
False violet,Dalibarda repens,Threatened,Michigan
Fescue sedge,Carex festucacea,Threatened,Michigan
Few-flowered nut rush,Scleria pauciflora,Endangered,Michigan
Fire pink,Silene virginica,Endangered,Michigan
Flattened spike rush,Eleocharis compressa,Threatened,Michigan
Fleshy stitchwort,Stellaria crassifolia,Endangered,Michigan
Floating bladderwort,Utricularia inflata,Endangered,Michigan
Floating marsh marigold,Caltha natans,Endangered,Michigan
Florida mudmidget,Wolffiella gladiata,Threatened,Michigan
Forest skullcap,Scutellaria ovata,Threatened,Michigan
Forked aster,Eurybia furcata,Threatened,Michigan
Fragile prickly pear,Opuntia fragilis,Endangered,Michigan
Franklin's phacelia,Phacelia franklinii,Threatened,Michigan
Gattinger's gerardia,Agalinis gattingeri,Endangered,Michigan
Ginseng,Panax quinquefolius,Threatened,Michigan
Globe beak-rush,Rhynchospora recognita,Endangered,Michigan
Globe-fruited seedbox,Ludwigia sphaerocarpa,Endangered,Michigan
Goblin moonwort,Botrychium mormo,Endangered,Michigan
Goldenseal,Hydrastis canadensis,Threatened,Michigan
Goosefoot corn salad,Valerianella chenopodiifolia,Endangered,Michigan
Great northern aster,Canadanthus modestus,Threatened,Michigan
Greenish-white sedge,Carex albolutescens,Threatened,Michigan
Greenstar sedge,Carex viridistellata,Threatened,Michigan
Hairy mountain mint,Pycnanthemum pilosum,Threatened,Michigan
Hairy wild petunia,Ruellia humilis,Threatened,Michigan
Hall's bulrush,Schoenoplectiella hallii,Threatened,Michigan
Hart's-tongue fern,Asplenium scolopendrium var. americanum,Endangered,Michigan
Hay-scented fern,Dennstaedtia punctilobula,Endangered,Michigan
Heart-leaved arnica,Arnica cordifolia,Endangered,Michigan
Heart-leaved plantain,Plantago cordata,Endangered,Michigan
Hedge-hyssop,Gratiola aurea,Threatened,Michigan
Hill's pondweed,Potamogeton hillii,Threatened,Michigan
Hollow-stemmed Joe-pye weed,Eutrochium fistulosum,Threatened,Michigan
Houghton's goldenrod,Solidago houghtonii,Threatened,Michigan
Hudson Bay eyebright,Euphrasia hudsoniana,Threatened,Michigan
Hudson Bay sedge,Carex heleonastes,Endangered,Michigan
Hyssop-leaved fleabane,Erigeron hyssopifolius,Threatened,Michigan
Jacob's ladder,Polemonium reptans,Threatened,Michigan
Kitten-tails,Besseya bullii,Endangered,Michigan
Lakeside daisy,Tetraneuris herbacea,Endangered,Michigan
Lapland buttercup,Coptidium lapponicum,Threatened,Michigan
Large round-leaved orchid,Platanthera macrophylla,Threatened,Michigan
Large water starwort,Callitriche heterophylla,Threatened,Michigan
Least pinweed,Lechea minor,Threatened,Michigan
Leggett's pinweed,Lechea pulchella,Threatened,Michigan
Leiberg's panic grass,Dichanthelium leibergii,Threatened,Michigan
Limestone oak fern,Gymnocarpium robertianum,Threatened,Michigan
Longleaf arnica,Arnica lonchophylla,Endangered,Michigan
Macoun's buttercup,Ranunculus macounii,Threatened,Michigan
Manna grass,Glyceria acutiflora,Endangered,Michigan
Marsh grass-of-parnassus,Parnassia palustris,Threatened,Michigan
Maryland meadow beauty,Rhexia mariana,Threatened,Michigan
Mat muhly,Muhlenbergia richardsonis,Threatened,Michigan
Mermaid-weed,Proserpinaca pectinata,Endangered,Michigan
Michigan monkey flower,Mimulus michiganensis,Endangered,Michigan
Michigan moonwort,Botrychium michiganense,Threatened,Michigan
Mikania,Mikania scandens,Endangered,Michigan
Missouri rock cress,Boechera missouriensis,Threatened,Michigan
Moor rush,Juncus stygius,Endangered,Michigan
Mountain cranberry,Vaccinium vitis-idaea,Endangered,Michigan
Mountain fir moss,Huperzia appressa,Endangered,Michigan
Mountain mint,Pycnanthemum muticum,Threatened,Michigan
Mullein-foxglove,Dasistoma macrophylla,Threatened,Michigan
Narrow-leaved gentian,Gentiana linearis,Threatened,Michigan
Narrow-leaved reedgrass,Calamagrostis stricta ssp. Stricta,Threatened,Michigan
Netted nut rush,Scleria reticularis,Threatened,Michigan
New England sedge,Carex novae-angliae,Threatened,Michigan
New England violet,Viola novae-angliae,Threatened,Michigan
Nodding pogonia,Triphora trianthophora,Threatened,Michigan
Nodding rattlesnake-root,Prenanthes crepidinea,Threatened,Michigan
Northern bayberry,Myrica pensylvanica,Threatened,Michigan
Northern bladderwort,Utricularia ochroleuca,Threatened,Michigan
Northern fairy bells,Prosartes trachycarpa,Threatened,Michigan
Northern oak fern,Gymnocarpium jessoense,Endangered,Michigan
Northern prostrate clubmoss,Lycopodiella margueritae,Threatened,Michigan
Northern ragwort,Packera indecora,Threatened,Michigan
Northern woodsia,Woodsia alpina,Endangered,Michigan
Orange- or yellow-fringed orchid,Platanthera ciliaris,Endangered,Michigan
Painted trillium,Trillium undulatum,Endangered,Michigan
Pale avens,Geum virginianum,Threatened,Michigan
Pale Indian paintbrush,Castilleja septentrionalis,Threatened,Michigan
Panic grass,Panicum longifolium,Threatened,Michigan
Panicled hawkweed,Hieracium paniculatum,Threatened,Michigan
Panicled screwstem,Bartonia paniculata,Threatened,Michigan
Pearlwort,Sagina nodosa,Threatened,Michigan
Philadelphia panic-grass,Panicum philadelphicum,Endangered,Michigan
Pine-drops,Pterospora andromedea,Threatened,Michigan
Pitcher's thistle,Cirsium pitcheri,Threatened,Michigan
Prairie birdfoot violet,Viola pedatifida,Endangered,Michigan
Prairie buttercup,Ranunculus rhomboideus,Threatened,Michigan
Prairie cinquefoil,Potentilla litoralis,Threatened,Michigan
Prairie coreopsis,Coreopsis palmata,Endangered,Michigan
Prairie golden alexanders,Zizia aptera,Threatened,Michigan
Prairie moonwort,Botrychium campestre,Threatened,Michigan
Prairie or pale agoseris,Agoseris glauca,Threatened,Michigan
Prairie smoke,Geum triflorum,Threatened,Michigan
Prairie white-fringed orchid,Platanthera leucophaea,Endangered,Michigan
Prickly saxifrage,Saxifraga tricuspidata,Threatened,Michigan
Pumpelly's bromegrass,Bromus pumpellianus,Threatened,Michigan
Pumpkin ash,Fraxinus profunda,Threatened,Michigan
Purple cliff brake,Pellaea atropurpurea,Threatened,Michigan
Purple milkweed,Asclepias purpurascens,Threatened,Michigan
Purple spike rush,Eleocharis atropurpurea,Endangered,Michigan
Purple turtlehead,Chelone obliqua,Endangered,Michigan
Pygmy water lily,Nymphaea leibergii,Endangered,Michigan
Queen-of-the-prairie,Filipendula rubra,Threatened,Michigan
Ragwort,Packera insulae-regalis,Threatened,Michigan
Rattlesnake-master,Eryngium yuccifolium,Endangered,Michigan
Raven's-foot sedge,Carex crus-corvi,Endangered,Michigan
Red mulberry,Morus rubra,Threatened,Michigan
Red-fruited chokeberry,Aronia arbutifolia,Threatened,Michigan
Rock cress,Boechera dentata,Threatened,Michigan
Rock sandwort,Minuartia dawsonensis,Threatened,Michigan
Rock-rose,Chamaerhodos nuttallii var. keweenawensis,Endangered,Michigan
Rosepink,Sabatia angularis,Threatened,Michigan
Rosinweed,Silphium integrifolium,Threatened,Michigan
Ross's sedge,Carex rossii,Threatened,Michigan
Round-fruited St. John's-wort,Hypericum sphaerocarpum,Endangered,Michigan
Round-leaved violet,Viola rotundifolia,Threatened,Michigan
Round-seed panic-grass,Dichanthelium polyanthes,Endangered,Michigan
Sand cinquefoil,Potentilla supina,Threatened,Michigan
Satiny willow,Salix pellita,Threatened,Michigan
Sawtooth wormwood,Artemisia serrata,Threatened,Michigan
Scirpus-like rush,Juncus scirpoides,Threatened,Michigan
Sedge,Carex tincta,Endangered,Michigan
Sedge,Carex atratiformis,Threatened,Michigan
Sedge,Carex conjuncta,Threatened,Michigan
Sedge,Carex media,Threatened,Michigan
Shooting star,Primula meadia,Endangered,Michigan
Short-beak beak-rush,Rhynchospora nitens,Endangered,Michigan
Short-fruited rush,Juncus brachycarpus,Threatened,Michigan
Shortstalk chickweed,Cerastium brachypodum,Threatened,Michigan
Showy orchis,Galearis spectabilis,Threatened,Michigan
Side-oats grama grass,Bouteloua curtipendula,Endangered,Michigan
Skinner's gerardia,Agalinis skinneriana,Endangered,Michigan
Skullcap,Scutellaria nervosa,Endangered,Michigan
Slender beard tongue,Penstemon gracilis,Endangered,Michigan
Slender manna grass,Glyceria melicaria,Threatened,Michigan
Slender spike-rush,Eleocharis nitida,Endangered,Michigan
Slough grass,Beckmannia syzigachne,Threatened,Michigan
Small log fern,Dryopteris celsa,Threatened,Michigan
Small round-leaved orchis,Amerorchis rotundifolia,Endangered,Michigan
Small skullcap,Scutellaria parvula,Threatened,Michigan
Small yellow pond lily,Nuphar microphylla,Endangered,Michigan
Small-flowered wood rush,Luzula parviflora,Threatened,Michigan
Small-fruited spike-rush,Eleocharis microcarpa,Endangered,Michigan
Smooth ruellia,Ruellia strepens,Endangered,Michigan
Smooth whitlow grass,Draba glabella,Endangered,Michigan
Snow trillium,Trillium nivale,Threatened,Michigan
Southeastern adder's-tongue,Ophioglossum vulgatum,Endangered,Michigan
Spatulate moonwort,Botrychium spathulatum,Threatened,Michigan
Spike rush,Eleocharis radicans,Endangered,Michigan
Spotted pondweed,Potamogeton pulcher,Threatened,Michigan
Squashberry,Viburnum edule,Threatened,Michigan
Starry campion,Silene stellata,Threatened,Michigan
Stiff gentian,Gentianella quinquefolia,Threatened,Michigan
Stout smartweed,Persicaria robustior,Threatened,Michigan
Straw sedge,Carex straminea,Endangered,Michigan
Sullivant's milkweed,Asclepias sullivantii,Threatened,Michigan
Sun sedge,Carex inops,Threatened,Michigan
Swamp cottonwood,Populus heterophylla,Endangered,Michigan
Sweet Cicely,Osmorhiza depauperata,Threatened,Michigan
Sweet coltsfoot,Petasites sagittatus,Threatened,Michigan
Tall green milkweed,Asclepias hirtella,Threatened,Michigan
Tea-leaved willow,Salix planifolia,Threatened,Michigan
Three-ribbed spike rush,Eleocharis tricostata,Threatened,Michigan
Three-square bulrush,Schoenoplectus americanus,Endangered,Michigan
Tinted spurge,Euphorbia commutata,Threatened,Michigan
Toadshade,Trillium sessile,Threatened,Michigan
Twisted whitlow grass,Draba incana,Endangered,Michigan
Umbrella-grass,Fuirena pumila,Threatened,Michigan
Upland boneset,Eupatorium sessilifolium,Threatened,Michigan
Vasey's pondweed,Potamogeton vaseyi,Threatened,Michigan
Vasey's rush,Juncus vaseyi,Threatened,Michigan
Virginia bluebells,Mertensia virginica,Threatened,Michigan
Virginia flax,Linum virginianum,Threatened,Michigan
Virginia snakeroot,Endodeca serpentaria,Threatened,Michigan
Virginia spiderwort,Tradescantia virginiana,Threatened,Michigan
Voss's goldenrod,Solidago vossii,Endangered,Michigan
Walking fern,Asplenium rhizophyllum,Threatened,Michigan
Wall-rue,Asplenium ruta-muraria,Endangered,Michigan
Warty panic grass,Panicum verrucosum,Threatened,Michigan
Water willow,Justicia americana,Threatened,Michigan
Waterthread pondweed,Potamogeton bicupulatus,Threatened,Michigan
Weak stellate sedge,Carex seorsa,Threatened,Michigan
Western dock,Rumex occidentalis,Endangered,Michigan
Western mugwort,Artemisia ludoviciana,Threatened,Michigan
Western silvery aster,Symphyotrichum sericeum,Threatened,Michigan
White bergamot,Monarda clinopodia,Threatened,Michigan
White false indigo,Baptisia lactea,Threatened,Michigan
White gentian,Gentiana alba,Endangered,Michigan
White goldenrod,Solidago bicolor,Endangered,Michigan
White lady slipper,Cypripedium candidum,Threatened,Michigan
Whorled pogonia,Isotria verticillata,Threatened,Michigan
Wideflower phlox,Phlox ovata,Endangered,Michigan
Widgeon grass,Ruppia cirrhosa,Threatened,Michigan
Wild hyacinth,Camassia scilloides,Threatened,Michigan
Wild lilac,Ceanothus sanguineus,Threatened,Michigan
Wild rice,Zizania aquatica,Threatened,Michigan
Wild sweet potato,Ipomoea pandurata,Threatened,Michigan
Wild sweet William,Phlox maculata,Threatened,Michigan
Winged monkey flower,Mimulus alatus,Threatened,Michigan
Wisteria,Wisteria frutescens,Threatened,Michigan
Woodland everlasting,Omalotheca sylvatica,Threatened,Michigan
Woodland lettuce,Lactuca floridana,Threatened,Michigan
Yellow fumewort,Corydalis flavula,Threatened,Michigan
Yellow-flowered leafcup,Smallanthus uvedalia,Threatened,Michigan
